"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3250,15,8,1900,10,10,1900,3,1,6,-9,57,57,20,5,1,1,1,0,0,0,0,3.1
3254,-9,8,1912,5,11,1913,3,1,-9,-9,462,428,16,4,1,1,1,0,0,0,0,3.1
3255,1,6,1912,26,8,1912,5,3,0,0,87,87,16,4,0,1,1,0,0,0,0,3.1
3256,16,10,1916,-9,10,1916,5,3,0,0,16,1,16,4,0,1,1,0,0,0,0,3.1
3257,6,7,1921,5,11,1921,1,2,0,0,123,123,14,4,0,1,1,0,0,0,0,3.1
3258,-9,6,1914,-9,12,1914,4,3,0,0,214,155,14,4,0,1,1,0,0,0,0,3.1
3259,-9,9,1921,-9,3,1922,1,2,0,0,212,153,14,4,0,1,1,0,0,0,0,3.1
3260,-9,1,1926,-9,1,1926,5,1,0,0,31,1,1,2,0,1,1,0,0,0,0,3.1
3263,-9,3,1943,-9,6,1943,5,1,0,0,122,63,16,4,0,1,1,0,0,0,0,3.1
3264,7,11,1944,14,8,1945,6,1,-9,-9,281,281,17,4,1,1,1,0,0,0,0,3.1
3265,12,5,1947,-9,2,1948,5,3,-9,-9,293,266,17,4,1,2,1,0,0,0,0,3.1
3266,21,7,1949,21,7,1949,5,3,-9,-9,1,1,16,4,0,1,1,0,0,0,0,3.1
3267,29,1,1973,29,1,1973,5,3,0,0,1,1,8,3,0,1,1,0,0,0,0,3.1
3268,20,11,1974,20,11,1974,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3270,25,5,1973,25,5,1973,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3271,8,4,1967,8,4,1967,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3300,-9,5,1968,9,7,1968,7,4,0,0,70,32,15,4,1,1,1,0,0,0,0,3.1
3301,1,10,1903,20,10,1903,4,1,0,0,20,20,1,2,0,1,1,0,0,0,0,3.1
3310,30,10,1961,30,10,1961,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3320,4,4,1817,-9,4,1817,5,3,0,0,27,1,7,3,0,1,1,0,0,0,0,3.1
3321,12,9,1817,1,11,1817,4,1,0,0,51,51,11,3,1,1,1,0,0,0,0,3.1
3322,13,5,1876,13,5,1876,5,3,0,0,1,1,1,2,0,3,1,0,0,0,0,3.1
3323,-9,5,1876,-9,5,1876,5,3,0,0,31,1,7,3,0,1,1,0,0,0,0,3.1
